sector,size_band,ai_readiness_band,population,funded_companies,avg_funding_usd,avg_bench_match,combined_score
Consulting,1-10,1,1,0,0,0.333,0.296
Analytics,51-200,1,2,0,0,0.25,0.287
Artificial Intelligence (AI),unknown,1,1,0,0,0.25,0.275
Data Management,1000+,1,1,0,0,0.25,0.275
Artificial Intelligence (AI),unknown,2,1,0,0,0.139,0.247
Management Consulting,51-200,1,1,0,0,0.139,0.247
Software,51-200,1,1,0,0,0.139,0.247
Business Development,1-10,2,1,0,0,0.139,0.247
Information Technology,11-50,1,1,0,0,0.139,0.247
Unclassified,11-50,1,1,0,0,0.139,0.247
Hospitality,11-50,1,1,0,0,0.139,0.247
Career Planning,1-10,1,1,0,0,0.139,0.247
Advanced Materials,unknown,1,1,0,0,0.139,0.247
Consulting,11-50,0,15,0,0,0.13,0.22
Information Technology,1-10,0,9,0,0,0.275,0.181
Agriculture,51-200,0,1,0,0,0.667,0.179
Digital Media,11-50,0,1,0,0,0.667,0.179
Outsourcing,51-200,0,1,0,0,0.667,0.179
Commercial Insurance,unknown,0,1,0,0,0.667,0.179
Angel Investment,11-50,0,1,0,0,0.667,0.179
Digital Entertainment,1-10,0,1,0,0,0.667,0.179
Home Decor,51-200,0,1,0,0,0.667,0.179
3D Technology,201-1000,0,1,0,0,0.667,0.179
Advertising Platforms,1-10,0,1,0,0,0.639,0.172
Financial Services,1-10,0,11,0,0,0.134,0.171
Unclassified,11-50,0,10,0,0,0.172,0.168
Advice,1-10,0,9,0,0,0.207,0.164
Building Material,11-50,0,9,0,0,0.185,0.159
Professional Services,1-10,0,1,0,0,0.583,0.158
Construction,51-200,0,2,0,0,0.528,0.157
Financial Services,11-50,0,10,0,0,0.105,0.151
Digital Marketing,11-50,0,6,0,0,0.306,0.151
Marketing,1-10,0,2,0,0,0.5,0.15
Digital Signage,51-200,0,1,0,0,0.528,0.145
Children,11-50,0,1,0,0,0.528,0.145
CleanTech,unknown,0,1,0,0,0.528,0.145
Self-Storage,unknown,0,1,0,0,0.528,0.145
Fitness,201-1000,0,1,0,0,0.528,0.145
Bakery,201-1000,0,1,0,0,0.528,0.145
Advertising,11-50,0,7,0,0,0.214,0.141
Health Care,1-10,0,9,0,0,0.111,0.14
Genetics,1-10,0,1,0,0,0.5,0.138
Software,11-50,0,4,0,0,0.347,0.137
Advice,11-50,0,9,0,0,0.086,0.134
Industrial,11-50,0,7,0,0,0.182,0.133
Events,unknown,0,1,0,0,0.472,0.131
Food Processing,11-50,0,1,0,0,0.472,0.131
Events,11-50,0,1,0,0,0.472,0.131
Packaging Services,1000+,0,1,0,0,0.472,0.131
Adventure Travel,11-50,0,1,0,0,0.472,0.131
Internet,1-10,0,4,0,0,0.313,0.128
Automotive,unknown,0,4,0,0,0.312,0.128
Financial Services,51-200,0,3,0,0,0.361,0.128
Blockchain,11-50,0,2,0,0,0.403,0.126
Health Care,unknown,0,6,0,0,0.199,0.125
Manufacturing,11-50,0,6,0,0,0.199,0.125
Consulting,unknown,0,6,0,0,0.199,0.125
Education,unknown,0,4,0,0,0.299,0.125
Construction,11-50,0,7,0,0,0.147,0.124
Automotive,11-50,0,3,0,0,0.343,0.123
Telecommunications,51-200,0,1,0,0,0.444,0.123
Travel,11-50,0,1,0,0,0.444,0.123
Association,11-50,0,1,0,0,0.444,0.123
Legal,11-50,0,1,0,0,0.444,0.123
E-Learning,1-10,0,1,0,0,0.444,0.123
Education,11-50,0,6,0,0,0.19,0.122
Internet,unknown,0,3,0,0,0.333,0.121
Construction,1-10,0,6,0,0,0.176,0.119
Electronics,51-200,0,1,0,0,0.417,0.117
Manufacturing,unknown,0,1,0,0,0.417,0.117
Medical Device,11-50,0,1,0,0,0.417,0.117
Management Consulting,11-50,0,1,0,0,0.417,0.117
News,11-50,0,1,0,0,0.417,0.117
Real Estate,51-200,0,1,0,0,0.417,0.117
Accounting,201-1000,0,1,0,0,0.417,0.117
Baby,1-10,0,1,0,0,0.417,0.117
Consumer,51-200,0,1,0,0,0.417,0.117
Unclassified,1000+,0,1,0,0,0.417,0.117
Public Transportation,1-10,0,1,0,0,0.417,0.117
Cycling,1-10,0,1,0,0,0.417,0.117
News,201-1000,0,1,0,0,0.417,0.117
Electronics,11-50,0,6,0,0,0.153,0.113
Commercial,11-50,0,6,0,0,0.139,0.11
Building Material,51-200,0,5,0,0,0.189,0.11
Journalism,11-50,0,1,0,0,0.389,0.11
Furniture,unknown,0,1,0,0,0.389,0.11
Information and Communications Technology (ICT),11-50,0,1,0,0,0.389,0.11
Food and Beverage,1000+,0,1,0,0,0.389,0.11
Local Business,unknown,0,1,0,0,0.389,0.11
Art,unknown,0,1,0,0,0.389,0.11
Communications Infrastructure,1-10,0,1,0,0,0.389,0.11
Environmental Consulting,unknown,0,1,0,0,0.389,0.11
Information Services,51-200,0,1,0,0,0.389,0.11
Commercial Real Estate,11-50,0,3,0,0,0.287,0.109
Elder Care,51-200,0,2,0,0,0.334,0.108
Education,201-1000,0,2,0,0,0.333,0.108
Dental,11-50,0,7,0,0,0.055,0.101
Software,unknown,0,5,0,0,0.15,0.1
Information Technology,51-200,0,4,0,0,0.201,0.1
Computer,1-10,0,3,0,0,0.241,0.098
E-Commerce,11-50,0,5,0,0,0.139,0.097
Accounting,unknown,0,4,0,0,0.188,0.097
SEO,1-10,0,1,0,0,0.333,0.096
Blogging Platforms,1-10,0,1,0,0,0.333,0.096
Building Maintenance,11-50,0,1,0,0,0.333,0.096
Dietary Supplements,1-10,0,1,0,0,0.333,0.096
Emergency Medicine,1-10,0,1,0,0,0.333,0.096
Call Center,201-1000,0,1,0,0,0.333,0.096
CRM,1-10,0,1,0,0,0.333,0.096
Outdoors,1-10,0,1,0,0,0.333,0.096
Jewelry,1-10,0,1,0,0,0.333,0.096
Publishing,1-10,0,1,0,0,0.333,0.096
IT Infrastructure,11-50,0,1,0,0,0.333,0.096
Enterprise Resource Planning (ERP),11-50,0,1,0,0,0.333,0.096
Children,201-1000,0,1,0,0,0.333,0.096
B2B,unknown,0,1,0,0,0.333,0.096
Landscaping,51-200,0,1,0,0,0.333,0.096
Music,unknown,0,1,0,0,0.333,0.096
CMS,1-10,0,1,0,0,0.333,0.096
Building Maintenance,51-200,0,1,0,0,0.333,0.096
Art,11-50,0,1,0,0,0.333,0.096
E-Commerce,201-1000,0,1,0,0,0.333,0.096
Business Intelligence,51-200,0,1,0,0,0.333,0.096
Food and Beverage,201-1000,0,1,0,0,0.333,0.096
Cloud Infrastructure,11-50,0,1,0,0,0.333,0.096
Information Technology,201-1000,0,1,0,0,0.333,0.096
Customer Service,51-200,0,1,0,0,0.333,0.096
Consulting,201-1000,0,3,0,0,0.231,0.095
Consumer Goods,51-200,0,2,0,0,0.278,0.094
Consulting,51-200,0,4,0,0,0.167,0.092
Property Management,11-50,0,6,0,0,0.065,0.091
Brand Marketing,1-10,0,2,0,0,0.264,0.091
Beauty,11-50,0,2,0,0,0.264,0.091
Electronics,1-10,0,2,0,0,0.264,0.091
Banking,1-10,0,2,0,0,0.264,0.091
Food and Beverage,11-50,0,4,0,0,0.16,0.09
Finance,51-200,0,4,0,0,0.153,0.088
Logistics,1-10,0,4,0,0,0.153,0.088
Graphic Design,1-10,0,3,0,0,0.204,0.088
Industrial,51-200,0,3,0,0,0.204,0.088
Government,11-50,0,2,0,0,0.25,0.087
Advice,51-200,0,3,0,0,0.194,0.086
Recycling,11-50,0,2,0,0,0.236,0.084
Venture Capital,11-50,0,2,0,0,0.236,0.084
Unclassified,51-200,0,2,0,0,0.236,0.084
Property Management,51-200,0,3,0,0,0.176,0.082
Creative Agency,1-10,0,1,0,0,0.278,0.082
Business Development,51-200,0,1,0,0,0.278,0.082
FinTech,11-50,0,1,0,0,0.278,0.082
Freight Service,51-200,0,1,0,0,0.278,0.082
Farming,1000+,0,1,0,0,0.278,0.082
Banking,unknown,0,1,0,0,0.278,0.082
Security,1-10,0,1,0,0,0.278,0.082
Finance,unknown,0,5,0,0,0.072,0.081
Consumer Goods,1-10,0,3,0,0,0.176,0.081
Hospitality,11-50,0,2,0,0,0.222,0.081
Architecture,11-50,0,5,0,0,0.061,0.078
Real Estate,unknown,0,3,0,0,0.157,0.077
Animation,1-10,0,2,0,0,0.209,0.077
Automotive,1000+,0,2,0,0,0.208,0.077
Furniture,11-50,0,1,0,0,0.25,0.075
Delivery,11-50,0,1,0,0,0.25,0.075
E-Commerce Platforms,11-50,0,1,0,0,0.25,0.075
Computer,unknown,0,2,0,0,0.195,0.074
Dental,unknown,0,2,0,0,0.194,0.074
Real Estate,11-50,0,3,0,0,0.139,0.072
Dental,1-10,0,4,0,0,0.083,0.071
Accounting,1-10,0,3,0,0,0.12,0.068
Electrical Distribution,11-50,0,1,0,0,0.222,0.068
